ID,Posted at,Screen name,Text
585819036115607552,2015-04-08 14:58:36 +0000,boonerang,"RT @iamctodd: ""Open Data is in a way more important than Open Source"" -- @cambecca at #openvisconf"
585816753898389505,2015-04-08 14:49:32 +0000,nucAmbiguous,RT @EGCosh: I’m hiring a front end visualisation developer: http://t.co/cWG3BGHdfv please share! #dataviz #d3js #openvisconf
585815716168871937,2015-04-08 14:45:25 +0000,ChillRadio365,RT @EGCosh: I’m hiring a front end visualisation developer: http://t.co/cWG3BGHdfv please share! #dataviz #d3js #openvisconf
585815661714124801,2015-04-08 14:45:12 +0000,iamctodd,"""Open Data is in a way more important than Open Source"" -- @cambecca at #openvisconf"
585815086578716673,2015-04-08 14:42:55 +0000,hfairfield,@boonerang thank YOU for your live tweets thru the #openvisconf!
585814471173545984,2015-04-08 14:40:28 +0000,JonSadka,Videos from this year's #OpenVisConf are already on YouTube!? Let the binge watching begin! @bocoup @OpenVisConf
585814343029260288,2015-04-08 14:39:57 +0000,Jargonautical,RT @EGCosh: I’m hiring a front end visualisation developer: http://t.co/cWG3BGHdfv please share! #dataviz #d3js #openvisconf
585814001835212800,2015-04-08 14:38:36 +0000,EGCosh,I’m hiring a front end visualisation developer: http://t.co/cWG3BGHdfv please share! #dataviz #d3js #openvisconf
585809181183213568,2015-04-08 14:19:27 +0000,RedactiveDesign,"RT @hfairfield: summary of my #openvisconf talk MT @boonerang:
Question.
Sketch.
Create.
Distill.
Layer.
Reveal.
Swipe.
Goofy.
Thinky.
Repeat."
585803806467727362,2015-04-08 13:58:05 +0000,sharoz,RT @arnicas: Big Data plotting is actually easy -@FisherDanyel #openvisconf http://t.co/tC9UhZGLf7
585801229286146048,2015-04-08 13:47:51 +0000,henryjameslau,RT @sandsfish: Thorough crowd-sourced notes by the attendees of #openvisconf this week: https://t.co/vrvuWDKJ8B
585800306572820480,2015-04-08 13:44:11 +0000,carla_astudi,RT @urbandata: How ZIP codes and ZCTAs work: @lenagroeger http://t.co/puFQs4DK0S #demographics #NNIP #openvisconf http://t.co/cAB0L5Dlob
585798830869901312,2015-04-08 13:38:19 +0000,hfairfield,"summary of my #openvisconf talk MT @boonerang:
Question.
Sketch.
Create.
Distill.
Layer.
Reveal.
Swipe.
Goofy.
Thinky.
Repeat."
585797889416437760,2015-04-08 13:34:35 +0000,vmdbks,RT @zevross: What I learned at #openvisconf (1/5): Passion for a project can be more important than experience (talks by @laurmccarthy @iwebst @cambecc)
585797432669302785,2015-04-08 13:32:46 +0000,DrBobBarr,RT @urbandata: How ZIP codes and ZCTAs work: @lenagroeger http://t.co/puFQs4DK0S #demographics #NNIP #openvisconf http://t.co/cAB0L5Dlob
585796893571178498,2015-04-08 13:30:37 +0000,RyanDEnos,RT @urbandata: How ZIP codes and ZCTAs work: @lenagroeger http://t.co/puFQs4DK0S #demographics #NNIP #openvisconf http://t.co/cAB0L5Dlob
585796651228467200,2015-04-08 13:29:39 +0000,urbandata,How ZIP codes and ZCTAs work: @lenagroeger http://t.co/puFQs4DK0S #demographics #NNIP #openvisconf http://t.co/cAB0L5Dlob
585795916881268736,2015-04-08 13:26:44 +0000,javascriptd,"RT @laneallen: #dataviz #openvisconf 2015 videos; visualization in big data, webgl, tools, storytelling, interactive w/ #reactjs: https://t.co/8sfoKoP4qL"
585795328701558784,2015-04-08 13:24:24 +0000,JeffClark,RT @moebio: Subscribe to Lichen (recently featured at #openvisconf) mailing list to be notified about launch and major releases http://t.co/8QeebH8DmF
585794185875349504,2015-04-08 13:19:52 +0000,DataAndDataViz,RT @Milr0c: It's great seeing a truly responsive data table by NPR #openvisconf
585793908665262080,2015-04-08 13:18:46 +0000,willcrumbley,RT @lenagroeger: Sometimes at #openvisconf it's like http://t.co/hkIRhLAvOE
585793666381381632,2015-04-08 13:17:48 +0000,sandsfish,Thorough crowd-sourced notes by the attendees of #openvisconf this week: https://t.co/vrvuWDKJ8B
585792745546981378,2015-04-08 13:14:08 +0000,aqhat,"RT @zevross: What I learned at #openvisconf (4/5): Tech I pland more time investigating - vega, react.js, pixi.js, webgl"
585791536224464896,2015-04-08 13:09:20 +0000,dennari,"RT @kosamari: ""You have billion dollars dataset in your finger tip for free. Open Data is in a way more important than Open Source"" @cambecc #openvisconf"
585791249346617344,2015-04-08 13:08:11 +0000,dvrnd,RT @zevross: What I learned at #openvisconf (2/5): D3 rules the world - nothing else comes close (duh)!
585790871368523776,2015-04-08 13:06:41 +0000,maralllo,RT @zevross: What I learned at #openvisconf (1/5): Passion for a project can be more important than experience (talks by @laurmccarthy @iwebst @cambecc)
585790399777738752,2015-04-08 13:04:49 +0000,arnicas,RT @zevross: What I learned at #openvisconf (1/5): Passion for a project can be more important than experience (talks by @laurmccarthy @iwebst @cambecc)
585787461415997440,2015-04-08 12:53:08 +0000,laneallen,"#dataviz #openvisconf 2015 videos; visualization in big data, webgl, tools, storytelling, interactive w/ #reactjs: https://t.co/8sfoKoP4qL"
585786726754295808,2015-04-08 12:50:13 +0000,zevross,What I learned at #openvisconf (5/5): @arnicas and @ireneros are incredible and thoughtful organizers and put on a great event.
585786503076282368,2015-04-08 12:49:20 +0000,zevross,"What I learned at #openvisconf (4/5): Tech I pland more time investigating - vega, react.js, pixi.js, webgl"
